,Time,Target,Performance,Time_1,Target_1,Performance_1,Time_2,Target_2,Performance_2,Time_3,Target_3,Performance_3,Time_4,Target_4,Performance_4
0,0,4.002905368804932,0.000000000000000,Device: K-Grip,,,Device: K-Grip,,,Device: K-Grip,,,Device: K-Grip,,
1,0.013324999999999818,4.002905368804932,0.000000000000000,Time,Target,Performance,Time,Target,Performance,Time,Target,Performance,Time,Target,Performance
2,0.02675599999999986,4.002905368804932,0.000000000000000,0,-,0.010150000452995,0,-,0.000000000000000,0,-,0.000000000000000,0,-,0.000000000000000
3,0.04008099999999968,3.834839105606079,0.000000000000000,0.013336000000002969,-,0.000000000000000,0.013325000000011642,-,0.000000000000000,0.013313999999998487,-,0.000000000000000,0.013325000000011642,10.112344741821289,0.000000000000000
4,0.053416999999999916,3.834839105606079,0.000000000000000,0.02666100000000006,-,0.033250000327826,0.026650000000008733,-,0.000000000000000,0.026638999999995576,-,0.000000000000000,0.02664999999999418,-,0.000000000000000
5,0.06674199999999973,3.834839105606079,0.000000000000000,0.03998599999999715,-,0.000000000000000,0.03998500000000058,-,0.000000000000000,0.03998599999998987,-,0.000000000000000,0.03997500000000582,-,0.000000000000000
6,0.08006700000000001,3.811776161193848,0.000000000000000,0.05331100000000151,-,0.000000000000000,0.05330999999999767,-,0.000000000000000,0.05330000000000291,10.531800270080566,0.000000000000000,0.05331100000001607,-,0.000000000000000
7,0.09340299999999979,3.811776161193848,0.000000000000000,0.0666359999999986,-,0.013050000183284,0.06663500000000931,-,0.000000000000000,0.066625,-,0.004350000061095,0.0666359999999986,-,0.000000000000000
8,0.10673799999999983,3.811776161193848,0.000000000000000,0.07997200000000157,-,0.001449999981560,0.0799600000000064,-,0.000000000000000,0.07996099999999569,-,0.000000000000000,0.07996100000001025,-,0.000000000000000
9,0.12005299999999988,3.811776161193848,0.004350000061095,0.09329699999999866,-,0.000000000000000,0.0932960000000021,3.840828180313110,0.000000000000000,0.09328599999999278,-,0.000000000000000,0.09328599999999278,-,0.000000000000000
10,0.1333779999999997,3.811776161193848,0.000000000000000,0.10662200000000302,-,0.004350000061095,0.10662099999999919,-,0.000000000000000,0.10661099999998987,-,0.000000000000000,0.10662200000000302,10.531800270080566,0.000000000000000
11,0.14671299999999973,3.811776161193848,0.000000000000000,0.12005299999999988,-,0.000000000000000,0.11994600000001082,3.840828180313110,0.000000000000000,0.11994599999999628,-,0.000000000000000,0.11994700000001467,-,0.000000000000000
12,0.16002799999999978,3.849713563919067,0.000000000000000,0.13338900000000284,-,0.000000000000000,0.1332710000000079,-,0.000000000000000,0.13327099999999337,-,0.000000000000000,0.1332719999999972,10.531800270080566,0.000000000000000
13,0.17336299999999982,3.849713563919067,0.000000000000000,0.14671399999999996,-,0.015949999913573,0.1466070000000036,-,0.000000000000000,0.1465859999999957,-,0.000000000000000,0.14660699999998905,-,0.000000000000000
14,0.18671000000000004,3.849713563919067,0.000000000000000,0.16003899999999704,-,0.041949998587370,0.15993200000000068,-,0.000000000000000,0.1599210000000021,-,0.000000000000000,0.15993200000000068,-,0.000000000000000
15,0.2000129999999999,3.896514654159546,0.000000000000000,0.1733640000000014,-,0.018850000575185,0.17337400000001071,-,0.000000000000000,0.1733640000000014,-,0.000000000000000,0.1733640000000014,-,0.000000000000000
16,0.2133489999999997,3.896514654159546,0.000000000000000,0.1866999999999971,-,0.033250000327826,0.1866880000000092,-,0.000000000000000,0.1866889999999985,-,0.000000000000000,0.18668900000001304,-,0.000000000000000
17,0.22679099999999972,3.896514654159546,0.000000000000000,0.20002500000000145,-,0.013050000183284,0.2000130000000063,-,0.000000000000000,0.20001399999999558,-,0.000000000000000,0.20001399999999558,-,0.000000000000000
18,0.24010599999999976,3.856891155242920,0.000000000000000,0.21334999999999854,-,0.000000000000000,0.21334900000000198,-,0.000000000000000,0.21333899999999267,10.531800270080566,0.000000000000000,0.21333900000000722,-,0.000000000000000
19,0.2534309999999996,3.856891155242920,0.000000000000000,0.22668499999999767,-,0.001449999981560,0.22667399999999907,-,0.000000000000000,0.22666399999998976,-,0.000000000000000,0.22667500000001747,-,0.000000000000000
20,0.2667659999999996,3.919184446334839,0.000000000000000,0.24001000000000203,-,0.021749999374151,0.2399990000000107,-,0.000000000000000,0.2399890000000014,-,0.000000000000000,0.24,-,0.000000000000000
21,0.28009099999999987,3.919184446334839,0.000000000000000,0.25333499999999914,-,0.007249999791384,0.2533350000000064,-,0.000000000000000,0.2533239999999932,10.531800270080566,0.000000000000000,0.2533250000000116,10.531800270080566,0.000000000000000
22,0.29341599999999973,3.919184446334839,0.000000000000000,0.2666710000000021,-,0.036150000989437,0.26666999999999824,-,0.000000000000000,0.2666389999999956,-,0.000000000000000,0.26664999999999417,-,0.000000000000000
23,0.30675199999999997,3.894858121871948,0.000000000000000,0.2799959999999992,-,0.010150000452995,0.2799850000000006,-,0.000000000000000,0.279974000000002,-,0.000000000000000,0.27998500000001514,-,0.000000000000000
24,0.3200769999999998,3.894858121871948,0.000000000000000,0.29332100000000355,-,0.036150000989437,0.29332000000000696,-,0.000000000000000,0.2932989999999991,-,0.000000000000000,0.2933099999999977,10.531800270080566,0.000000000000000
25,0.3333909999999996,3.871822118759155,0.000000000000000,0.30664600000000064,-,0.039050001651049,0.30664500000000405,-,0.000000000000000,0.3066349999999948,-,0.000000000000000,0.3066350000000093,-,0.000000000000000
